artifact__title,artifact__summary,artifact__type,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__tags,artifact__people__author,artifact__people__editor,collection__uuid,file__url
Ukraine Crisis: Statement of Civil Society Organizations on Sexual and Reproductive Health Rights,,correspondence,2022-04-05,,,https://phr.org/our-work/resources/ukraine-crisis-statement-of-civil-society-organizations-on-sexual-and-reproductive-health-rights/,Sexual Violence|Ukraine,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2022/04/Statement-by-Civil-Society-Organizations.pdf
Open Letter on COVID-19 Boosters in U.S. Immigration and Customs Enforcement’s Detention Facilities,,correspondence,2022-01-28,,,https://phr.org/our-work/resources/open-letter-on-covid-19-boosters-in-ice-detention/,COVID-19|United States,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2022/01/Letter-on-COVID-boosters-in-ICE-detention-1.27.2022.pdf
She Pays the Highest Price: The Toll of Conflict on Sexual and Reproductive Health in Northwest Syria,"Attacking health care facilities has been a deliberate tactic in the Syrian conflict, which is now 12 years old. Even as international recognition of the systematic nature of these attacks has grown in response to widespread documentation of assaults, impunity for perpetrators continues. All parties to the conflict have perpetrated numerous acts of violence in violation of international humanitarian law (IHL). In the face of substantial evidence, however, member states of the United Nations have taken limited action to hold those responsible to account, or to protect health workers and the provision of vital health care services. Today, international headlines rarely feature the Syrian conflict. Yet, the war in Syria is far from over. Indeed, since the 2020 ceasefire, three aerial bombardments have been carried out on health care facilities.[1] The long-term and cumulative impacts of the conflict have generated a health care crisis for the 4.6 million civilians in northwest Syria.[2] Almost half of this population is female. Understanding how these attacks reduce availability and access to care for women and girls, including sexual and reproductive health (SRH) services, is vital to protect the human right to health, and to promote advocacy efforts in Syria and beyond. Based on primary data collected in northwest Syria, this report shines a light on the daily experiences of health care staff who provide SRH services, and, in turn, the patients who try to access these services. Providing health care is ever more tenuous there: during the month of November 2022, almost a million medical procedures took place with supplies and equipment that entered Syria as part of the cross-border operation implemented through the use of the Bab al-Hawa crossing.[3] While the impact of the violence in Syria on health care has been widely documented, the existing literature on the impact of violence on the provision of SRH care is scant. This report contributes to a greater understanding of this underexamined crisis. The impact of violence across northwest Syria, combined with reduced donor funding and economic collapse, has meant inadequate and uneven provision of health care for Syrians, particularly women and girls. In response to the violence, providers have been forced to leave or relocate beyond the line of fighting, leaving many unable to reach the care they need. This not only impacts civilian access to services, but also increases demand on the service providers in safer areas, undermining the quality of care. The devastating earthquakes which struck southeast Türkiye and northwest Syria in early February 2023 further limit the already precarious access to health care detailed in this report. In order to assess the impact of violence on SRH, researchers spoke with more than 260 mostly female respondents, who shared their experience accessing or providing SRH services. Qualitative interviews with reproductive health care workers and extensive focus group discussions with displaced and resident women in Idlib and Aleppo demonstrate that continued violence poses increasing and complex barriers to health care. Syrian women in the northwest reported that fear or experience of bombings, kidnapping, or exploitation all undermine their ability to access health clinics, leaving them without care or reliant on informal health service provision. Attacks on health care facilities are frequent enough that a high number of pregnant women in northwest Syria prefer to undergo a cesarean section instead of a vaginal birth, partly to reduce the time spent inside a health care facility. They also avoid prenatal care visits. Pregnant women reported they must travel long distances to seek medical care, putting themselves at risk. Providers and patients described deaths because of delays in care provision. Not all consequences were as visible: women also explained how the lack of access to SRH services negatively impacts both their mental health and that of their families. As economic crisis, inflation, and the impact of the earthquakes continue to grip Syria, the cost of medicine, transportation, and private health care undermines people’s ability to access the often lifesaving care they require. Stigma, cultural expectations, and lack of awareness of their rights and of service availability make access even more difficult. The services that are the most stigmatized, including for sexually transmitted infections and HIV/AIDS care, are also the least accessible, according to those interviewed. Many of the trends identified in this report can also be mapped to wider challenges that communities experiencing conflict face in meeting their health needs. Civilians and communities currently facing similar systematic violence against health care, such as in Myanmar, Ukraine, and Yemen, likely face similar barriers. The findings of this research are intended to raise awareness of the ongoing plight of Syrians and to contribute to policy change. While health actors, including humanitarian organizations, have worked to fill the gaps in health care provision, the current approach to the crisis in Syria is inadequate. Urgent changes are needed to protect the right to health for populations in northwest Syria and ensure access for those who require medical care. The devastating earthquakes that hit Syria and Türkiye on February 6, 2023 and the continuing damage caused by aftershocks further compound the already precarious access to health care detailed in this report. Challenges related to displacement, destruction of roads, lack of fuel, and limited health services provision will likely impact 148,000 pregnant women, 37,000 of whom are due to give birth in the three months following the earthquakes, with 5,550 women who may experience complications requiring emergency obstetric care, including C-section, according to the United Nations Office for the Coordination of Humanitarian Affairs (UN OCHA).[4] This report reflects the SRH concerns of those living and working in northwest Syria. It establishes a record upon which policymakers, donors, and health actors, including humanitarian organizations, may rely in addressing the crisis of SRH in northwest Syria. It provides core recommendations for the United Nations Security Council, United Nations member states, donors, health actors, and the coordination architecture.[5] Respondents emphasized that accountability, improved access to health care, greater awareness, and sufficient resources should be prioritized by policymakers and practitioners.",report,2023-03-14,,,https://phr.org/our-work/resources/sexual-and-reproductive-health-in-northwest-syria/,Attacks on Health Care|Syria,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2023/03/REPORT-The-Toll-of-Conflict-on-Sexual-and-Reproductive-Health-in-Northwest-Syria_March-2023.pdf
Letter to UN Ambassadors on UNSC Border-crossing Reauthorization Vote,,correspondence,2021-07-02,,,https://phr.org/our-work/resources/letter-to-un-ambassadors-on-unsc-border-crossing-reauthorization-vote/,Syria,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2021/07/PHR-letter-re-UNSC-border-crossing-reauthorization-vote_July-2021.pdf
Coalition Letter to the Biden Administration on Title 42 Border Expulsions,,correspondence,2021-06-30,,,https://phr.org/our-work/resources/coalition-letter-to-biden-administration-on-title-42-border-expulsion/,Asylum|United States,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2021/06/NGOLetterBidenTitle42_June2021.pdf
Neither Safety nor Health: How Title 42 Expulsions Harm Health and Violate Rights,,report,2021-07-28,,,https://phr.org/our-work/resources/neither-safety-nor-health/,Asylum|United States,"Michele Heisler, MD, MPA",,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2021/07/PHR-Report-United-States-Title-42-Asylum-Expulsions-July-2021.pdf.pdf
Open Letter to WHO Director-General Concerning the Election of the Government of Syria to the WHO Executive Board,,correspondence,2021-06-03,,,https://phr.org/our-work/resources/open-letter-to-who-director-general-concerning-the-election-of-the-government-of-syria-to-the-who-executive-board/,COVID-19|Syria,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/phr-sams-letter-on-syrian-apt-to-who-exec-board-june2021/
Behind Closed Doors: Abuse and Retaliation Against Hunger Strikers in U.S. Immigration Detention,"Mr. Otieno, an asylum seeker from East Africa, is one of the many people in U.S. Immigration and Customs Enforcement (ICE) detention who began a hunger strike to protest poor conditions and seek release during the COVID-19 pandemic. Rather than listen to his pleas, ICE retaliated by locking him in a freezing cold room, force-feeding him through a nasogastric tube against his will, and transferring him to three different facilities. Only after subjecting him to all of this did ICE finally release him from detention in late 2020. Mr. Otieno, who lost 28 pounds and now takes medication for post-traumatic stress disorder (PTSD) and depression, described it as “an experience that I wouldn’t wish on my worst enemy.” The decision to begin a hunger strike in immigration detention is not taken lightly. A detained person’s refusal to eat may be the last option available to voice complaint, after all other methods of petition have failed. Detained and imprisoned people worldwide have engaged in hunger strikes to plead for humane conditions of confinement or release from captivity and to bring attention to broader calls for justice. Each day, the United States government unnecessarily locks up thousands of people in civil immigration detention, including children, in over two hundred immigration detention centers around the country. [1] People may be locked up for many months — even years — as they await final adjudication of their cases or deportation. Trapped in a system marked by mistreatment and abuse, medical neglect, and the denial of due process, hundreds of people in immigration detention engage in hunger strikes as a means of protest each year. ICE’s failure to provide safe and humane conditions in detention during the COVID-19 pandemic has only raised the stakes for detained people. Although some detained people, on occasion, are able to bring outside attention to their hunger strikes, very little is known of ICE’s systemic response to hunger striking detainees. This report provides for the first time an in-depth, nationwide examination of what happens to people who engage in hunger strikes while detained by ICE.",report,2021-06-23,,,https://phr.org/our-work/resources/behind-closed-doors/,Asylum|United States,"Joanna Naples-Mitchell, JD|Ranit Mishori, MD, MHS|Matthew Wynia, MD, MPH",,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2021/06/ACLU-PHR-Behind-Closed-Doors.pdf
Profiles in Resilience: Why Survivors of Domestic Violence and Gang Violence Qualify for International Protection,"Although protection for refugees is a longstanding U.S. legal commitment under federal and international law, immigration policy has become a deeply politicized topic in the United States in recent years. Domestic violence and violence by organized gangs represent a major cause of forced displacement for those arriving at the U.S. border. Yet these forms of persecution are viewed skeptically by some policymakers who favor restricting immigration in spite of U.S. legal obligations to ensure the right to seek asylum. Extensive data demonstrates that the increase in migration from Central America to the United States in the past decade has been triggered by physical and sexual violence, death threats, and other abuses by organized gangs, domestic abusers, and government authorities, resulting in high levels of physical and psychological trauma. The Trump administration dismissed these claims as “meritless” and asylum seekers as “fraudsters” who exploit the “loophole” of asylum, alleging that they are actually criminals. Former attorney general Jeff Sessions flouted decades of domestic and international legal precedent by issuing a blanket statement, in a single case, that domestic and gang violence survivors will generally not qualify for asylum. This decision had the immediate impact of increasing denials of Central American asylum claims, in line with the political goals of the Trump administration to deter migration from Central America. A large proportion of Physicians for Human Rights (PHR) clients, who are asylum seekers receiving pro bono forensic evaluations, are survivors of domestic and gang violence. A research team, comprised of faculty from the University of California, Los Angeles (UCLA), graduate students from the UCLA Fielding School of Public Health, medical students at the David Geffen School of Medicine at UCLA, and PHR staff, analyzed 132 medical-legal affidavits resulting from medical and psychological evaluations of asylum seekers to capture the characteristics of the harms they experienced. The study also explored descriptive statistics that could expose discriminatory patterns of harm that were not captured through the qualitative analysis. Our hypothesis was that the physical and psychological findings in medical-legal affidavits would bring new insights that could inform efforts to change asylum policies. In this study, 81 percent (107 people) of the applicants were seeking asylum due to domestic violence and 29 percent (38 people) due to persecution by organized gangs; 10 percent (13 people) had experienced both domestic and gang violence. According to data from the affidavits, the applicants reported a wide range of trauma: of 26 types of trauma, almost two thirds (65 percent) of applicants had experienced six or more types. Nearly all (95 percent) of the applicants had experienced multiple trauma categories: 78 percent had experienced three or more categories of trauma while 15 percent had experienced all five trauma categories. Overall, sexual violence was very common in gang violence-related claims, with one third of applicants in this category reporting having been raped and five percent reporting a history of “gang rape” or rape by two or more perpetrators. Overall, 38 percent of applicants in this sample reported having a family member who had experienced violence or had been killed as a sign that they were likely to be targeted next. Perpetrators commonly threatened family members as a powerful means of coercing, threatening, or exploiting their specific targets. Affidavits captured the complicated social and gender norms, sense of male entitlement, and systemic disempowerment of women that motivated intimate partners to inflict physical and sexual violence. These pervasive beliefs about the obligations of women within intimate relationships were prevalent amongst perpetrators and local community members. Parents, guardians, and extended family members also perpetrated physical violence (50 percent) and sexual violence (19 percent). Many clients reported that their family members were motivated by adherence to social, religious, and community norms, such as the maintenance of male-dominant power structures within the family or the avoidance of familial “shame” caused by non-conformity to these customs. Of the 132 affidavits analyzed, 32 (24 percent) reported that the person sought assistance from a police, military, or government official or civil society organization. For 81 percent of those who sought assistance, there was either no response or the report resulted in direct persecution by the state actor. People reported that the state was unable or unwilling to protect them due to corruption, fear, normalization of domestic and gang violence in the community, and stigmatizing attitudes towards victims. More than a third of the people described in our sample (49 people or 37 percent) attempted to relocate within their home country prior to migrating to the United States, including 22 people who attempted to relocate more than once. For many asylum seekers, arrival in the United States did not mean that they had found safety. Almost half of the subjects in the sample (46 percent) reported ongoing trauma after entering the United States. This trauma often took the form of ongoing threats by former persecutors through phone or social media. Other applicants reported experiencing new forms of abuse after arrival in the United States, including by harassment or assault in their new workplace or abuse by new intimate partners. Other types of abuse that were reported after arrival in the United States included trauma related to detention and forced prostitution. Of the 101 affidavits in this sample that included a mental health evaluation, 79 percent met criteria in the Diagnostic and Statistical Manual of Mental Disorders (DSM–5) for a mental health diagnosis. Post-traumatic stress disorder (PTSD) was the most common diagnosis, with 68 percent of people who underwent a mental health evaluation meeting criteria for this diagnosis. Suicidality was also very common, with 32 percent of people reporting any history of suicidal ideation or attempt and 13 percent reporting active suicidality at the time of the evaluation. Of the 50 evaluations that included a physical evaluation, the most common types of physical injuries reported were cuts (28 people, 56 percent) followed by burns (12 people, 24 percent). The majority of clinicians in this sample concluded there was objective physical or psychological evidence of past trauma consistent with, highly consistent with, or diagnostic of the history of trauma described by the applicant. Many affidavits commented on resilience factors that helped the applicants recover from their prior trauma and adjust to a new life in the United States. These resilience factors included family and social support, religion and collective identity, work and school, access to mental and other clinical health services, and individual traits. Mental health improvement was strongly associated with the number of reported resilience factors. Improvement in mental health was reported in 74 percent of subjects who reported two or more resilience factors, compared to 14 percent of subjects who reported no resilience factors. The Refugee Convention defines a refugee as someone who is unable or unwilling to avail themselves of the protection of their country from persecution, for the reasons, or “protected grounds,” of race, religion, nationality, membership of a particular social group, or political opinion. The UN High Commissioner for Refugees (UNHCR) advises that domestic violence and gang violence survivors may be considered “members of a particular social group” due to their gender, or due to gender with their relationship status or national origin, and that in gang violence cases, survivors can be considered members of social groups which are defined as groups by their past actions or experiences, such as resisting gang recruitment or refusing to pay extortion money to gangs. Opposition to gang activity and domestic violence can also be understood as a type of political opinion. According to UNHCR, persecution by non-state actors, such as gang members or violent family members, should be recognized whenever a government is unable or unwilling to control the perpetrators. The data in this study provides additional evidence that the harms suffered by asylum seekers from domestic and gang violence are real and severe, and that victims often cannot find protection in their own country. These narratives of abuse and trauma in this study were consistent with mental and physical health evidence, as documented according to international standards contained in the Istanbul Protocol. Domestic and gang violence survivors can meet the criteria for international protection, especially when their persecution and inability to obtain protection is understood through a gender lens. The Biden administration should revise Department of Homeland Security and Department of Justice regulations to ensure that U.S. asylum law is consistent with international refugee law standards in the protection that it offers. Ultimately, Congress should amend the Immigration and Nationality Act to codify these standards at the level that international law requires. Refugees, asylum seekers, and all immigrants must be treated humanely. The people whose narratives are described in this study were bona fide applicants who were granted asylum in the United States after experiencing severe harm in their home countries, often over many years and by multiple perpetrators. Some 46 percent of them reported experiencing ongoing trauma in the United States, most commonly due to ongoing threats to themselves or their loved ones and new experiences of domestic violence in the United States. For some, mistreatment in detention, separation from family, inability to work, and anxiety about their asylum cases also caused deteriorating mental health symptoms after they arrived in the United States. Nevertheless, this study demonstrates the resilience of these applicants and the possibility for healing for those who are able to find safety in the United States. Statistical analysis showed that those who did not experience ongoing trauma in the United States or who had factors that promote resilience, such as family and community support, opportunities for religious engagement, employment, and education, and access to mental and other clinical health services, had significantly better health outcomes. These courageous survivors can heal if we ensure respect for their dignity, well-being, and human rights.",report,2021-06-09,,,https://phr.org/our-work/resources/profiles-in-resilience-why-survivors-of-domestic-violence-and-gang-violence-qualify-for-international-protection/,Asylum|United States,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2021/06/PHR_UCLA_Profiles_in_Resilience_June_2021_FINAL_FULL_REPORT_WEB.pdf
An Open Letter to President Ortega on the Human Rights Crackdown in Nicaragua,,correspondence,2021-07-14,,,https://phr.org/our-work/resources/an-open-letter-to-nicaragua-president-ortega/,,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2021/07/PHR-Ortega-Letter-7.11.21-ENG85.pdf
The United States Urgently Needs a COVID-19 Vaccination Plan for People in Immigration Detention: An Open Letter to DHS Secretary Mayorkas,,correspondence,2021-05-17,,,https://phr.org/our-work/resources/the-united-states-urgently-needs-a-covid-19-vaccination-plan-for-people-in-immigration-detention/,COVID-19|United States,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2021/05/PHR-Open-Letter-to-Secretary-Mayorkas-April-1-2021.pdf
"Expert Statement on Individual and Community Effects from Trauma Due to NYPD Use of Force in Response to the Mott Haven Protest on June 4, 2020","On June 4, 2020, the New York City Police Department (NYPD) used force against protestors of police violence, arresting 263 people in the Mott Haven neighborhood of the South Bronx. Mott Haven is a predominantly Black and Latinx community that historically has experienced high rates of poverty and homelessness. Since March 2020, the community has also faced high rates of infection and death from COVID-19. For many years, both the overall community and individuals living within the community have endured the deleterious effects of systemic racism, including from over-policing. The Bronx Defenders, a Bronx-based legal assistance nonprofit organization, is representing 23 of the Mott Haven protestors, each of whom was detained and arrested by the NYPD. These 23 people are members of the Mott Haven Collective that is now calling for the City of New York to pay reparations to the community due to the June 4 police violence. In December 2020, the Bronx Defenders asked Physicians for Human Rights (PHR) if it would be willing to provide an analysis of the physical and psychological sequelae of the individual and community-level trauma stemming from these police actions; this was to be done using the relevant facts described by these 23 protestors regarding their reported experiences, including an analysis of both mental and physical harms.[A] PHR’s medical and psychiatric experts conducted an independent assessment of these individuals’ Notices of Claim and prepared this report analyzing these and other factors. The PHR experts addressed five key questions in this report. First, were there patterns and types of traumatic events experienced at the hands of the NYPD and, if so, to what extent? Second, to what extent were these patterns consistent with the scientific literature about individual mental health harms that result from witnessing or experiencing police violence and mistreatment? Third, did PHR’s experts find that there were ongoing mental health symptoms resulting from this trauma after reviewing the Notices of Claim, and to what extent did these relate to the diagnostic criteria for post-traumatic stress disorder (PTSD), anxiety, depression, and psychological distress? Fourth, what scientific literature on community trauma is relevant for assessing the community effects of the NYPD actions on June 4, 2020? And, finally, did PHR’s experts believe that there were general principles that should guide necessary individual and systemic responses to address the harms sustained by both individual protestors and the broader Mott Haven community? Preliminarily, it needs to be noted that the PHR medical and psychiatric experts cannot offer formal diagnoses, because actual clinical interviews or examinations have not been conducted. However, a thorough review of the documentation provided does lead to the conclusion that all of the claimants describe having had exposures to traumatic events consistently reported as being caused by actions of the NYPD. In our opinion, these meet the diagnostic criteria in the American Psychiatric Association’s most recent edition of its Diagnostic and Statistical Manual of Mental Disorders (DSM-5).  “Traumatic events” are defined as an exposure to “actual or threatened death, serious injury, or sexual violence in one (or more) of the following ways: 1. directly experiencing the traumatic event(s); 2. witnessing, in person, the event(s) as it occurred to others; 3. learning that the traumatic event(s) occurred to a close family member or close friend. (In cases of actual or threatened death of a family member or friend, the event(s) must have been violent or accidental); 4. experiencing repeated or extreme exposure to aversive details of the traumatic event(s).” The 23 claimants all describe experiencing physical, mental, and/or verbal abuse directed at them and witnessing these abuses against other people. All 23 protestors were subject to the threat of serious injury, with several explicitly expressing their fear of being killed by police. Twenty-two of the protestors themselves described experiencing direct violence against them. Our analysis concluded that there was a total of 84 events.[B]  People who are exposed to traumatic events are at elevated risk for multiple mental health symptoms compared to those with no traumatic exposures. Both the severity of risk and the type of exposure matter. The large and growing body of rigorous evidence from the scientific literature that the report reviews demonstrates that both experiencing police violence and witnessing police violence are independently associated with poor mental health and, at times, poor physical health. The literature further indicates that the “police” in “police violence” may bestow a specific heightened meaning that extends beyond the violence and the threats of violence itself. Nineteen claimants describe experiencing cardinal symptoms of PTSD, depression, or anxiety since the events at the Mott Haven protest, with some describing symptoms consistent with all of these conditions. Such police violence, as occurred in Mott Haven, can impair the communities in which it occurs, thereby producing community trauma. When perpetrated against predominantly Black, Latinx, and other marginalized communities in the United States that have historically suffered disproportionately from experiencing and witnessing police violence, such violence further compounds collective trauma. The resulting individual and community harms can have broad effects on community members, including negatively affecting community trust and cohesion, overall well-being, and social bonds. In the opinion of PHR’s experts, the harms sustained by both individual protestors and the broader Mott Haven community require both individual and community-wide responses. There should be redress for the individual protestors. There also should be measures to address the community spillover effects, where members in the surrounding community who did not take part in the protest may experience psychiatric sequelae from the police actions on June 4, 2020, as well as the damage to intra-community and community-government relations. Interventions aimed at reducing the burden of trauma and its outcomes should also include bystanders and other observers in addition to those directly affected. Effective responses should also directly address collective trauma. The report concludes with recommended principles to guide meaningful and, in our opinion, necessary actions.",report|brief,2021-04-20,,,https://phr.org/our-work/resources/expert-statement-on-individual-and-community-effects-from-trauma-due-to-nypd-use-of-force-in-response-to-the-mott-haven-protest-on-june-4-2020/,Weapons|United States,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2021/04/PHR-Mott-Haven-Protest-Expert-Statement-April-2021.pdf
Title 42 Border Expulsions: How Biden and the CDC’s Misuse of Public Health Authority Expels Asylum Seekers to Danger,,other,2021-05-20,,,https://phr.org/our-work/resources/title-42-border-expulsions-how-biden-and-the-cdcs-misuse-of-public-health-authority-expels-asylum-seekers-to-danger/,Asylum|United States,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2021/05/PHR-Title-42-Order-Fact-Sheet.pdf
The Human Rights Implications of Global COVID-19 Vaccine Distribution,,factsheet,2021-02-25,,,https://phr.org/our-work/resources/the-human-rights-implications-of-global-covid-19-vaccine-distribution/,COVID-19|Global,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2021/02/The-Human-RIghts-Implications-of-Global-COVID19-Vaccine-Distribution-Fact-Sheet-Feb-2021.pdf
Challenges Faced by the Iraqi Health Sector in Responding to COVID-19,,report,2021-04-06,,,https://phr.org/our-work/resources/challenges-faced-by-the-iraqi-health-sector-in-responding-to-covid-19/,COVID-19|Iraq,"Abdulrazzaq Al-Saiedi, MPA|Maram Haddad, MA",,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2021/04/PHR_COVID-19-and-Health-in-Iraq_April-2021.pdf
Praying for Hand Soap and Masks,"Physical and psychological abuse and inadequate medical care have long been documented in U.S. Immigration and Customs Enforcement (ICE) facilities, where previous infectious disease outbreaks were poorly contained. In 2020, as the COVID-19 pandemic spread across the United States, it became clear that ICE’s continued negligence, coupled with the vast expansion of U.S. immigration detention, would likely lead to a public health disaster. Given the lack of transparent data and the severe health risks in congregate settings caused by the pandemic, Physicians for Human Rights (PHR) staff and Harvard Medical School faculty and students sought to document conditions experienced by people recently released from U.S. immigration detention. From July 13 to October 3, 2020, the research team conducted 50 interviews of immigrants formerly detained by ICE using a standardized questionnaire covering 1) Demographics; 2) COVID-19 education; 3) Hygiene and sanitation measures; 4) COVID-19 testing and medical management; and 5) Protests and retaliation. The 50 participants were detained at 22 different ICE detention facilities – representing nine county facilities and 13 private facilities – in 12 different states. Overall, 52 percent of interviewees reported at least one comorbidity that placed them at an absolute high risk of severe COVID-19 if they contracted the virus. All study participants were 18 years of age or older, in the United States at the time of the interview, and had been held in ICE detention with a release date on or after March 15, 2020. Information reported by the interviewees uncovered significant shortcomings in ICE’s response to the virus. Staff efforts to inform people about COVID-19 were limited and inconsistent. The vast majority of respondents (85 percent) first heard about COVID-19 in detention by watching the news on television, while ICE staff in some facilities attempted to downplay the significance of COVID-19 and actively prevented people from learning about the virus from the news by asking them to change the television channel. Nearly all immigrants interviewed were unable to maintain social distance throughout the detention center. Eighty percent reported never being able to maintain a six-foot distance from others in their eating area. Some 96 percent reported that they were less than six feet from their nearest neighbor when sleeping. The average distance reported between beds was 2.87 feet. Twenty-seven people reported that when new individuals entered the detention center after March 15, they were not quarantined for two weeks before entering the general unit. Forty-two percent of participants reported not having access to soap at some point during their detention. When soap or hand sanitizer was not available, some participants reported resorting to using shampoo to wash their hands, and one even used toothpaste. Thirty-six percent of participants reported relying on purchasing soap from the commissary. Several people relied on donations from outside organizations, while others had to forgo other basic necessities to purchase soap. Eighteen percent of participants reported most commonly using water alone to wash their hands. Eighty-two percent of people reported not having access to hand sanitizer anywhere in the detention facility. Twenty-six percent of participants reported never observing disinfection of frequently touched surfaces in common areas (e.g. doorknobs, light switches, countertops, recreation equipment). The overwhelming majority (83 percent) reported that detainees disinfected the common areas themselves. Twenty-one out of 50 people interviewed (42 percent) experienced symptoms of COVID-19 during the pandemic, such as fever, cough, muscle aches, and loss of smell. Three out of these 21 (14 percent) never officially reported their symptoms due to fear of being sent to solitary confinement or other punishment, or anticipation of denial of medical care. Out of all respondents who reported symptoms, only 17 percent (three people) were appropriately isolated from the general population and tested for COVID-19, one of whom tested positive. The remaining 83 percent (15 people) reported their symptoms to facility staff members but did not get tested for COVID-19 and were not isolated. Interviewees reported facing prolonged wait times before being able to see a medical professional, with an average wait time of 100 hours (approximately four days). One person reported having had to wait a total of 25 days for an appointment. Importantly, two people were never seen by a medical professional at all, even after reporting their symptoms to staff members. While 88 percent of all participants (44 people) had at least one comorbidity placing them at possible increased risk of severe COVID-19, 56 percent (28 people) reported these risk factors to detention staff, but only four of them were told that they were at high risk of having a serious illness with COVID-19. None of those four were given the option to have an individual room. Forty-three study participants (86 percent) stated that they reported and/or protested about issues related to COVID-19, including verbally complaining to staff about unsanitary conditions or lack of personal protective equipment, filing formal grievances, going on hunger strikes, reporting conditions to lawyers, reporting conditions to the media, and sending messages to family members with the hope they would be publicized. Of these 43 who protested, 56 percent (24 people) reported experiencing acts of intimidation and retaliation after their complaints, including verbal abuse by detention facility staff, being pepper sprayed, being placed in solitary confinement, and experiencing threats or actions of limiting food, communication, or commissary access. As civil detainees, people in immigration detention are entitled to due process under the Fifth Amendment of the U.S. Constitution and cannot be held in punitive conditions. The government cannot put people in danger or act with deliberate indifference to a foreseeable or obvious threat, and is required to provide for the reasonable health and safety of people in detention. The UN Standard Minimum Rules for the Treatment of Prisoners, which apply in all detention settings, confirm that health care for people who are detained is the responsibility of the state, and that health care also must follow public health principles in regard to management of infectious disease, including treatment and clinical isolation. In fact, international law limits the use of immigration detention and prohibits criminalizing border crossing for asylum seekers. Article 31(2) of the UN Refugee Convention permits states to restrict refugee freedom of movement only when necessary, otherwise it may amount to a “penalty,” which is prohibited under the Convention. The UN High Commissioner for Refugees’ (UNHCR) Executive Committee considers detention of asylum seekers as meeting the necessity test only when the government detains people to verify their identity or issue documents, to make a preliminary assessment of their asylum claim, or based on an individualized security assessment. International standards consider immigration detention as a last resort and require periodic hearings for all types of detention in order to prevent arbitrary detention. International bodies and U.S. federal courts have applied these standards to the context of the pandemic. The World Health Organization, the UN High Commissioner for Human Rights, and UNHCR stated in March 2020 that, given the risk of severe illness and death from COVID-19, people in immigration detention should be released “without delay.” U.S. federal courts have variously ordered ICE to locate and release people at high risk of severe illness or death due to the coronavirus, to give masks and sanitizer to detainees, to ensure availability of testing, and to take a range of precautionary measures, such as isolating people who test positive, temporarily halting intake, enforcing social distancing and mask wearing, and providing appropriate sanitary and hygiene supplies. The harsh and punitive conditions reported in this study show that ICE practices did not comply with Centers for Disease Control and Prevention guidance or with ICE’s own Pandemic Response Requirements, creating unacceptable health risks which violated the constitutional and human rights of detainees. International law requires governments to use immigration detention only as a last resort, and the U.S. constitution prohibits punitive conditions in civil detention, requiring the government to ensure safe and healthy conditions. As an urgent matter, the U.S. government should release all people from immigration detention to allow them to safely shelter in the community, absent a substantiated individual determination that the person represents a public security risk. Safely releasing people from immigration detention is in accordance with international human rights and U.S. constitutional standards and represents the best way to prevent further outbreaks of COVID-19.",report,2021-01-12,,,https://phr.org/our-work/resources/praying-for-hand-soap-and-masks/,COVID-19|United States,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2021/01/PHR-Praying-for-Hand-Soap-and-Masks.pdf
