artifact__title,artifact__summary,artifact__type,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__publisher,artifact__tags,artifact__people__author,artifact__people__editor,collection__uuid,file__content_type,file__url,file__language
Gender Equality Accelerators,"This booklet introduces the 10 Gender Equality Accelerators, designed to propel progress and ensure substantial results in line with the SDGs. Through them, UN women addresses the pressing need for strategic action to achieve gender equality and women's rights. The accelerators are not a 'one size fits all' solution but are tailored to fit individual national contexts and priorities, implemented in collaboration with national stakeholders.

The booklet emphasizes the importance of synergies between normative, operational, and coordination aspects to achieve sustainable and long-lasting results. By collaborating with allies, leveraging expertise, and harnessing available capacities, significant progress can be made. The Gender Equality Accelerators represent a call to action for governments, the UN system, and civil society to drive transformative change, advancing gender equality and the rights of women and girls worldwide. The Accelerators are a blueprint that UN Women offers to the UN Resident Coordinator system for collective action to achieve gender equality and contribute towards the full realization of the 2030 Agenda for Sustainable Development.",report,,2024-07-19,,https://www.unwomen.org/en/digital-library/publications/2024/07/gender-equality-accelerators,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),Anti-violence interventions|Climate change|Crisis response and recovery|Disaster risk reduction|Ending violence against women and girls|Gender data production and collection|Gender wage gap|Gender-responsive budgeting|Green economy|Leadership and political participation|Peace and security|Productive resources|Sustainable Development Goals (SDGs)|Unpaid work,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-07/gender_equality_accelerators_en.pdf,en
Gender Equality Accelerators brochure,"This brochure introduces the 10 Gender Equality Accelerators, designed to propel progress and ensure substantial results in line with the SDGs. Through them, UN women addresses the pressing need for strategic action to achieve gender equality and women's rights. The accelerators are not a 'one size fits all' solution but are tailored to fit individual national contexts and priorities, implemented in collaboration with national stakeholders.

The booklet emphasizes the importance of synergies between normative, operational, and coordination aspects to achieve sustainable and long-lasting results. By collaborating with allies, leveraging expertise, and harnessing available capacities, significant progress can be made. The Gender Equality Accelerators represent a call to action for governments, the UN system, and civil society to drive transformative change, advancing gender equality and the rights of women and girls worldwide. The Accelerators are a blueprint that UN Women offers to the UN Resident Coordinator system for collective action to achieve gender equality and contribute towards the full realization of the 2030 Agenda for Sustainable Development.",report,,2024-07-19,,https://www.unwomen.org/en/digital-library/publications/2024/07/gender-equality-accelerators-brochure,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),Climate change|Crisis response and recovery|Disaster risk reduction|Ending violence against women and girls|Gender data production and collection|Gender wage gap|Gender-responsive budgeting|Green economy|Leadership and political participation|Peace and security|Productive resources|Sustainable Development Goals (SDGs)|Unpaid work,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-07/gender_equality_accelerators_brochure_en.pdf,en
Brochure: Strategic note 2021–2025: Côte d’Ivoire,"This brochure summarizes UN Women’s strategic note (SN) for Côte d’Ivoire, 2021–2025, which provides a roadmap for improving the lives of women and girls in Côte d’Ivoire. The SN articulates UN Women’s multi-year strategy, rationale, envisioned results, targets, and resource requirements for the next four years. It was developed in consultation with key national partners and in alignment with the United Nations Sustainable Development Cooperation Framework (UNSDCF), UN Women’s Strategic Plan 2022–2025, and key national, regional, and global gender equality priorities.

The SN contributes to the achievement of the following two agreed UNSDCF priorities, based on UN Women’s expertise and comparative advantage in the country:


	Access to socio-economic opportunities and ending violence against women and girls and
	Rule of law, labour rights, gender equality, peace, and security.


The SN aims to ensure that women and girls in Côte d’Ivoire fully enjoy their rights, realize their potential, and benefit from development.",report,,2024-04-01,,https://www.unwomen.org/en/digital-library/publications/2024/04/brochure-strategic-note-2021-2025-cote-divoire,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),Africa|Côte d’Ivoire|Economic empowerment|Ending violence against women and girls|Gender equality and women’s empowerment|Governance and national planning|Humanitarian action|Leadership and political participation|Monitoring and evaluation|Peace and security|UN system coordination,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-04/un-women-strategic-note-brochure-cote-d-ivoire-2021-2025-en.pdf,en
Are we getting there? A synthesis of UN system evaluations of SDG 5,"As we cross the midpoint of the 2030 Agenda for Sustainable Development and amidst stalled progress on achieving gender equality, the independent evaluation offices of UN Women, UNDP, UNFPA, UNICEF, and WFP saw an opportunity to conduct an inter-agency synthesis of UN system evaluations related to Sustainable Development Goal 5 (SDG 5, gender equality). In total, 295 evaluations were synthesized to generate evidence on what is working, evidence gaps, and lessons to advance SDG 5.

Key findings highlighted the United Nations’ contribution towards advancing gender-responsive legislation; the effectiveness of integrated and holistic programming; the use of knowledge, data and research to support advocacy; technical support and capacity strengthening; and the centrality of civil society partners in achieving SDG 5.

At the same time, operationalizing the “leave no one behind” principle was a noted challenge, more sustained prioritization of gender in humanitarian situations is required, and there is need for stronger monitoring and evaluation to assess contribution towards gender equality outcomes. Harmful social norms and financing for gender equality were commonly cited as significant barrier to progress. Government commitment and institutional readiness were key enablers of progress.

The synthesis identifies key thematic and methodological evidence gaps. Opportunities to address these gaps through further evaluation, additional syntheses, and improvements to monitoring and evaluation methodologies are offered. The results are intended to serve as a catalyst for action by providing policymakers, programme implementers, donors, and UN agencies with a series of implications to guide next steps and the evidence needed to champion and advance their collective work to accelerate progress on SDG 5.",report,,2024-03-31,,https://www.unwomen.org/en/digital-library/publications/2024/03/are-we-getting-there-a-synthesis-of-un-system-evaluations-of-sdg-5,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),2030 Agenda for Sustainable Development|Economic empowerment|Ending violence against women and girls|Gender data gaps|Gender equality and women’s empowerment|Gender statistics|Leadership and political participation|Monitoring and evaluation|Peace and security|Sustainable Development Goals (SDGs),,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-05/are-we-getting-there-a-synthesis-of-un-system-evaluations-of-sdg-5-en.pdf,en
"Women, peace, security, and resilience annual report 2022","UN Women has substantially contributed to the United Nations’ efforts to build peaceful, inclusive, and resilient communities through our work across the Women, Peace, and Security (WPS) agenda and the Disaster Risk Reduction (DRR) programming.

This report demonstrates the breadth of UN Women’s work on women, peace, and security and disaster risk reduction and resilience throughout 2022, and the growing capacity to bridge immediate crises with interventions and strategies for prevention, peacebuilding, and resilience that last for the long term.

With comprehensive partnerships across the United Nations, Member States, and civil society, UN Women is well-positioned to respond to conflicts and crises and build the capacity and resilience of communities through supporting women’s leadership and agency to build a path to lasting peace, justice, equality, and inclusion for all.",report,,2024-03-20,,https://www.unwomen.org/en/digital-library/publications/2024/03/women-peace-security-and-resilience-annual-report-2022,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),Disaster risk reduction|Humanitarian action|Peace and security,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-04/women-peace-security-and-resilience-annual-report-2022-en.pdf,en
"Measuring violence against women with disability: Data availability, methodological issues, and recommendations for good practice","Developed as part of the UN Women–WHO Global Joint Programme on Violence Against Women Data, this briefing note focuses on the measurement of violence against women with disability and is one in a series of methodological briefing notes for strengthening the measurement and data collection of violence against particular groups of women or specific aspects of violence against women.

The briefing note is meant for researchers, national statistics offices, and others involved in data collection on violence against women. It provides an overview of the challenges in the availability, measurement, and collection of data on violence against women with disability and outlines recommendations for good practice in measurement, with the aim of strengthening ongoing and future data collection efforts and increasing the availability of such data.

The inclusion of women with disability and the issue of disability within population-based surveys and research on violence against women is necessary for an improved understanding of populations of women at specific risk of violence. This knowledge would also allow more tailored prevention strategies and response/services and programmes to be designed in a way that addresses the specific needs of women with disability.",report,,2024-03-27,,https://www.unwomen.org/en/digital-library/publications/2024/03/measuring-violence-against-women-with-disability,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),Domestic violence/interpersonal violence|Ending violence against women and girls|Gender data production and collection|Gender statistics|Women with disabilities,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-03/measuring-violence-against-women-with-disability-en.pdf,en
"Gender alert: Scarcity and fear: A gender analysis of the impact of the war in Gaza on vital services essential to women’s and girls’ health, safety, and dignity – Water, sanitation, and hygiene (WASH)","As the war on Gaza reached its six-month mark, it continues to be a war on women. According to UN Women estimates, more than 10,000 women have been killed to date, among them an estimated 6,000 mothers who left 19,000 orphan children behind. Women who have survived have been displaced, widowed, and are facing starvation. More than one million women and girls in Gaza have almost no food, no access to safe water, latrines, washrooms, or sanitary pads, with disease growing amidst inhumane living conditions.

Since the start of the war, UN Women has been documenting the experiences of women in Gaza in a series of gender alerts that look at various aspects of how the war is impacting the daily lives of women and girls, including food, water, shelter, health, and protection. This new alert is the latest in this series, and it focuses on water, sanitation, and hygiene (WASH) services, which are integral to women’s health, dignity, safety, and privacy.",report,,2024-04-16,,https://www.unwomen.org/en/digital-library/publications/2024/04/gender-alert-gender-analysis-of-the-impact-of-the-war-in-gaza-on-vital-services-essential-to-womens-and-girls-health-safety-and-dignity,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),"Arab States/North Africa|Conflict, war|Crisis response and recovery|Health|Health care services|Humanitarian action|Palestine, State of|Peace and security",,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-04/gender-alert-gender-analysis-of-the-impact-of-the-war-in-gaza-on-vital-services-essential-to-womens-and-girls-health-safety-en.pdf,en
"Gender alert: Scarcity and fear: A gender analysis of the impact of the war in Gaza on vital services essential to women’s and girls’ health, safety, and dignity – Water, sanitation, and hygiene (WASH)","As the war on Gaza reached its six-month mark, it continues to be a war on women. According to UN Women estimates, more than 10,000 women have been killed to date, among them an estimated 6,000 mothers who left 19,000 orphan children behind. Women who have survived have been displaced, widowed, and are facing starvation. More than one million women and girls in Gaza have almost no food, no access to safe water, latrines, washrooms, or sanitary pads, with disease growing amidst inhumane living conditions.

Since the start of the war, UN Women has been documenting the experiences of women in Gaza in a series of gender alerts that look at various aspects of how the war is impacting the daily lives of women and girls, including food, water, shelter, health, and protection. This new alert is the latest in this series, and it focuses on water, sanitation, and hygiene (WASH) services, which are integral to women’s health, dignity, safety, and privacy.",report,,2024-04-16,,https://www.unwomen.org/en/digital-library/publications/2024/04/gender-alert-gender-analysis-of-the-impact-of-the-war-in-gaza-on-vital-services-essential-to-womens-and-girls-health-safety-and-dignity,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),"Arab States/North Africa|Conflict, war|Crisis response and recovery|Health|Health care services|Humanitarian action|Palestine, State of|Peace and security",,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-04/gender-alert-gender-analysis-of-the-impact-of-the-war-in-gaza-on-vital-services-essential-to-womens-and-girls-health-safety-ar.pdf,ar
"Report of the Under-Secretary-General/Executive Director of the United Nations Entity for Gender Equality and the Empowerment of Women on the implementation of the Strategic Plan 2022–2025, including the midterm review of the Strategic Plan (UNW/2024/2)","This is the second annual report of the UN Women Executive Director on the implementation of the Strategic Plan 2022–2025. It is a combined report, highlighting key results from the first two years of implementing the Strategic Plan and incorporating findings and recommendations from the midterm review.

The midterm review provided an opportunity to take stock of progress and lessons at the midpoint of the Strategic Plan, with a view to supporting the acceleration of results. It is accompanied by the revised integrated results and resources framework.

Various annexes also accompany the combined report, including a Transparency Portal providing details of results achieved at all levels, an annex on the implementation of the quadrennial comprehensive policy review of operational activities for development of the United Nations system, and an annex on oversight functions.

Elements of a draft decision are in section VII.",report,,2024-04-16,,https://www.unwomen.org/en/digital-library/publications/2024/04/executive-directors-annual-report-2024,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),2030 Agenda for Sustainable Development|Beijing Platform for Action|Executive Board|Executive Director|Gender equality and women’s empowerment|Intergovernmental processes|UN Women administration,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-05/ed-annual-report-2024-en.pdf,en
"Report of the Under-Secretary-General/Executive Director of the United Nations Entity for Gender Equality and the Empowerment of Women on the implementation of the Strategic Plan 2022–2025, including the midterm review of the Strategic Plan (UNW/2024/2)","This is the second annual report of the UN Women Executive Director on the implementation of the Strategic Plan 2022–2025. It is a combined report, highlighting key results from the first two years of implementing the Strategic Plan and incorporating findings and recommendations from the midterm review.

The midterm review provided an opportunity to take stock of progress and lessons at the midpoint of the Strategic Plan, with a view to supporting the acceleration of results. It is accompanied by the revised integrated results and resources framework.

Various annexes also accompany the combined report, including a Transparency Portal providing details of results achieved at all levels, an annex on the implementation of the quadrennial comprehensive policy review of operational activities for development of the United Nations system, and an annex on oversight functions.

Elements of a draft decision are in section VII.",report,,2024-04-16,,https://www.unwomen.org/en/digital-library/publications/2024/04/executive-directors-annual-report-2024,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),2030 Agenda for Sustainable Development|Beijing Platform for Action|Executive Board|Executive Director|Gender equality and women’s empowerment|Intergovernmental processes|UN Women administration,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-05/ed-annual-report-2024-es.pdf,es
