artifact__title,artifact__title_english,artifact__summary,artifact__identifier,artifact__type,artifact__type_label,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__img,artifact__doi,artifact__publication_place,artifact__publisher,artifact__rights,artifact__rights_holder,artifact__rights_uri,artifact__tags,artifact__copyright,artifact__props__Example_Label,artifact__hidden_props__Example_Label,artifact__related_urls,artifact__isbn_online,artifact__isbn_print,artifact__issn_online,artifact__issn_print,artifact__series,artifact__people,artifact__people__author,artifact__people__editor,artifact__access_type,artifact__access_orgs,artifact__search_props__Example_Label,artifact__country,artifact__high_res_thumbnail,artifact__royalty_to_id,artifact__readable,collection__uuid,file__content_type,file__name,file__media_type,file__uuid,file__url,file__language,file__fulltext_s3_url,file__fulltext_paginated_s3_url,file__toc,file__viewer_settings,file__size,file__pages,file__key_terms,file__file_hash
Public Alternative Schools and Programs for Students At Risk of Education Failure: 2000-01,,"In the past two decades, public concern about violence, weapons, and drugs on elementary and secondary school campuses, balanced with concern about sending disruptive and potentially dangerous students “out on the streets,” has spawned an increased interest in alternative schools and programs. Yet, little research has so far been conducted on alternative education on a national basis. The 2001 “District Survey of Alternative Schools and Programs,” conducted by the National Center for Education Statistics (NCES) through its Fast Response Survey System (FRSS), is the first national study of public alternative schools and programs to provide data on topics related to the availability of public alternative schools and programs, enrollment, staffing, and services. The focus of the study is on alternative schools and programs that serve students who are at risk of educational failure, as indicated by poor grades, truancy, disruptive behavior, suspension, pregnancy, or similar factors associated with early withdrawal from school.  The study presents a snapshot of alternative schools and programs for at-risk students during the 2000–01 school year.",,statistical-publication,,2002-08-27,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002004,,,,NCES,,,,Alternative Education|Alternative Schools|Students|at-risk,,,,,,,,,,,Brian Kleiner|Rebecca Porch|Elizabeth Farris,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/surveys/frss/publications/2002004/,,,,,,,,,
The Measurement of Instructional Background indicators: Cognitive Laboratory Investigations of the Responses of Fourth and Eighth Grade Students and Teachers to Questionnaire Items,,"To improve the National Assessment of Educational Progress (NAEP), cognitive lab interviews were conducted with 4th- and 8th-grade students and their teachers to evaluate the validity of responses to background and instructional questions. Frequent discrepancies were found between students' and teachers' responses to the same questions. Causes are analyzed, and the paper contains recommendations for collecting more valid information.",,discussion-paper-working-paper,,2002-09-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=200206,,,,NCES,,,,Education Indicators|Measurement Error Studies|NAEP|Teachers|instructional practices of,,,,,,,,,,,Roger Levine|Mette Huberman|Kathryn Buckner,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2002/200206.pdf,,,,,,,,,
Findings from the Condition of Education 2002: Private Schools - A Brief Portrait,,"This report contains a special analysis that is republished from the Condition of Education 2002 in a booklet form. The special analysis examines private schools, how they differ by type (Catholic, other religious, and nonsectarian), and how they differ from public schools.",,brochure,,2002-09-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002013,,,,NCES,,,,Achievement (Student)|Coursetaking/Transcripts|Enrollment|elementary and secondary schools|Principals|Public and private school|Private Schools,,,,,,,,,,,Martha Naomi Alt|Katharin Peter,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2002/2002013.pdf,,,,,,,,,
Findings from the Condition of Education 2002: Nontraditional Undergraduates,,"This report contains a special analysis that is republished from the Condition of Education 2002 in a booklet form. The report describes nontraditional undergraduates in terms of their demographic characteristics, enrollment patterns, ways of combining school and work, participation in distance education, and persistence patterns.",,brochure,,2002-09-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002012,,,,NCES,,,,"Enrollment|higher education institutions|part-time, higher education|Part-Time Enrollment in Higher Education|Persistence to Completion of Students in Higher Education|Postsecondary Education|persistence and attainment|student characteristics|Work (Students)",,,,,,,,,,,Susan Choy,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2002/2002012.pdf,,,,,,,,,
Gender and Racial/Ethnic Differences in Salary and Other Characteristics of Postsecondary Faculty: Fall 1998,,"This report describes gender and racial/ethnic differences in salaries and other characteristics of full-time instructional faculty and staff in fall 1998 using NSOPF:99 data. Differences between men and women and among four racial/ethnic groups--White non-Hispanic, Asian/Pacific Islander, Black non-Hispanic, and Hispanic faculty--are examined with respect to the institutions and appointments, education and experience, and teaching and research activities of these faculty.  In addition, a regression analysis examines whether salary differences by gender and race/ethnicity persist when controlling for all of these types of factors.",,statistical-publication,,2002-09-10,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002170,,,,NCES,,,,Faculty|characteristics and attitudes|Higher Education|faculty|Minorities|in Higher Education|Postsecondary Education|faculty/instructional staff|Salaries|faculty in higher education,,,,,,,,,,,Ellen M. Bradburn|Anna C. Sikora,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/das/epubs/2002170/,,,,,,,,,
"Early Childhood Longitudinal Study - Kindergarten Class of 1998-99 (ECLS-K), Psychometric Report for Kindergarten Through First Grade",,"This working paper documents the design, development, and psychometric characteristics of the assessment instruments used in the ECLS-K.  The focus is on the psychometric results of the assessment instruments for four time points; fall- and spring-kindergarten and fall- and spring-first grade. The assessment instruments examined include the cognitive (direct and indirect), socioemotional, and psychomotor.  In addition, issues in analyzing longitudinal measures of cognitive skills are discussed.",,discussion-paper-working-paper,,2002-09-10,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=200205,,,,NCES,,,,Early Childhood Education,,,,,,,,,,,Donald A. Rock|Judith M. Pollack,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2002/200205.pdf,,,,,,,,,
Condition of Education 2002 in Brief,,"This publication, the Condition of Education 2002 in Brief, contains a sample of 22 of the 44 indicators in The Condition of Education 2002. The topics covered include enrollments in preschool, elementary/secondary, and postsecondary education; student achievement; high school dropout, college transition, and college persistence rates; trends in high school coursetaking, school choice, and the qualifications of teachers; the impacts of work on college students, distance education, and faculty salaries; and, levels of education funding.",,brochure,,2002-09-10,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002011,,,,NCES,,,,Achievement (Student)|Bachelor's Degrees|Completion Rates (high school)|Condition of Education|Coursetaking/Transcripts|Education Indicators|Expenditures|elementary and secondary schools|higher education institutions|Faculty|characteristics and attitudes|Poverty Status|Revenues|elementary/secondary schools|Special Education|Teachers|education/preparation,,,,,,,,,,,John Wirt|Andrea Livingston,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2002/2002011.pdf,,,,,,,,,
Hispanic Serving Institutions:  Statistical Trends from 1990 to 1999,,"This report, the first from NCES to focus exclusively on Hispanic Serving Institutions (HSIs), tracks 335 degree-granting institutions that met the 25 percent Hispanic enrollment criterion in 1999. This report provides a statistical overview of the growth in HSI enrollment and degrees during the 1990s. It also presents an overview of HSI staff in 1999 and changes in faculty salaries from the middle to the end of the decade.",,report,,2002-09-13,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002051,,,,NCES,,,,,,,,,,,,,,,Stearns|Christina|Watanabe|Satoshi,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/surveys/AnnualReports/indicatorreports.asp,,,,,,,,,
Internet Access in U.S. Public Schools and Classrooms: 1994-2001,,"This report presents data on Internet access in U.S. public schools from 1994 to 2001 by school characteristics.  It provides trend analysis on the progress of public schools and classrooms in connecting to the Internet and on the ratio of students to instructional computers with Internet access.  For the year 2001, this report also presents data on the types of Internet connections used; student access to the Internet outside of regular school hours; laptop computer loans; and operating systems, memory capacity and disk space found most frequently on instructional computers.  It also contains information on special hardware and software for students with disabilities, school-sponsored e-mail addresses, school Web sites, and technologies and procedures to prevent student access to inappropriate material on the Internet.",,report,,2002-09-17,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002018,,,,NCES,,,,Computers|Internet Access in Schools|Technology Use  in Education,,,,,,,,,,,Anne Kleiner|Elizabeth Farris,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2002/internet/,,,,,,,,,
CCD Data File: Local Education Agency Dropout and Completion Data: School Years 1991-92 through 1996-97,,This file provides data on dropout and completion counts and rates and enrollment counts for public elementary and secondary agencies for the 1991-92 through 1996-97 school years. Data were provided by state education agencies (SEAs) from their administrative records.,,dataset,,2002-09-20,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002366,,,,NCES,,,,Dropout Rates (High School)|High School Graduates|School Districts,,,,,,,,,,,Beth Young,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/ccd/drp7yr.asp,,,,,,,,,
CCD Data File: State Public Elementary/Secondary Education Dropout and Completion File:  School Years 1991-92 through 1996-97,,This data file provides dropout and completion counts and rates and enrollment counts aggregated to state totals for the 1991-92 through 1996-97 school years. Data were provided by state education agencies (SEAs) from their administrative records.,,dataset,,2002-09-20,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002365,,,,NCES,,,,Dropout Rates (High School)|High School Graduates|School Districts,,,,,,,,,,,Beth Young,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/ccd/drp7yr.ASP,,,,,,,,,
Education Statistics Quarterly-Vol. 4 Issue 2,,"The Quarterly offers an accessible, convenient overview of all NCES products released in a given quarter. Each issue includes: short publications (those less than 15 pages in length) in their entirety, executive summaries of longer publications, descriptive paragraphs of other NCES products, as well as notices about training and funding opportunities. In addition, each issue includes a featured publication with invited commentary pieces, a note on a current topic from a staff member, and a message from NCES.",,report,,2002-09-26,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002609,,,,NCES,,,,Arts Education|Dropout Rates (High School)|Faculty|Student Financial Aid,,,,,,,,,,,Compilation,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/programs/quarterly/Vol_4/4_2/,,,,,,,,,
What Students Pay for College: Changes in Net Price of College Attendance Between 1992-93 and 1999-2000,,"The report examines the most recent trends in the net price of college attendance (price includes tuition, living expenses and other nontuition costs), analyzing changes in various measures of net price between 1992-93 and 1999-2000.  Price changes are reported for full-time students attending different types of institutions, and trends are reported for low- middle- and high-income students.  Despite increases in tuition, once all grant aid combined (including federal, state and institutional aid) was subtracted from the total price of attendance, low-income students did not pay a higher price on average  in 1999-2000 than they did in 1992-93.  In almost all cases, however, middle- and high-income students did pay more on average to attend in 1999-2000 than in 1992-93.",,statistical-publication,,2002-09-30,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002174,,,,NCES,,,,Financing|higher education|Higher Education|financing of|Postsecondary Education|finance|student characteristics|Student Financial Aid,,,,,,,,,,,Laura Horn|Christina Chang Wei|Ali Berker,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/das/epubs/2002174/,,,,,,,,,
"Enrollment in Postsecondary Institutions, Fall 2000 and Financial Statistics, Fiscal Year 2000",,"This report presents findings from the Spring 2001 Integrated Postsecondary Education Data System (IPEDS) Web-based data collection.  Data were requested from over 6,600 postsecondary institutions participating in Title IV federal student financial aid programs.  The tables in this publication present enrollment data for fall 2000, financial statistics for fiscal year 2000, and student financial aid data for academic year 1999-2000.",,report,,2002-09-30,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002212,,,,NCES,,,,Enrollment|higher education institutions|Expenditures|higher education institutions|Finance|higher education institutions|Higher Education|fall enrollment|financial statistics,,,,,,,,,,,"Laura G. Knapp, et. al.|Research Triangle Institute",,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2002/2002212.pdf,,,,,,,,,
NCES Statistical Standards,,"This publication contains the 2002 revised statistical standards and guidelines for the National Center for Education Statistics (NCES).  These standards and guidelines are intended for use by NCES staff and contractors to guide them in their data collection, analysis, and dissemination activities.  They are also intended to present a clear statement for data users regarding how data should be collected in NCES surveys, and the limits of acceptable applications and use.  Users should be cognizant that the contents of this publication are continually being reviewed for technological and statistical advances.",,guide,,2002-10-01,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003601,,,,NCES,,,,Statistical Standards and Methodology,,,,,,,,,,,Marilyn M. Seastrom,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/statprog/2002/stdtoc.asp,,,,,,,,,
A Profile of Part-Time Faculty: Fall 1998,,This report describes some of the key findings from the 1999 National Study of Postsecondary Faculty (NSOPF:99) concerning the similarities and differences between part-time and full-time faculty.,,discussion-paper-working-paper,,2002-10-02,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=200208,,,,NCES,,,,Faculty|characteristics and attitudes|Higher Education|faculty|Postsecondary Education|faculty/instructional staff|Staff|characteristics and attitudes|higher education institutions,,,,,,,,,,,Andrea Berger|Rita Kirshstein|Yu Zhang|Kevin Carter,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2002/200208.pdf,,,,,,,,,
Are America's School Safe?  Students Speak Out:  1999 School Crime Supplement,,"This report presents the most recent information from students regarding
school crime and violence.  The data presented in the report are from the
1999 School Crime Supplement to the National Crime Victimization Survey.
Students between the ages of 12 and 18 are asked about experiencing criminal victimization, availability of drugs and alcohol, presence of street gangs, presence of weapons, experiencing hate-related words and graffiti, bullying, avoiding school, and fear of attending school.",,statistical-publication,,2002-10-03,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002331,,,,NCES,,,,Climate of Schools|Crime (see also Violence and Safety)|Educational Goals|Safety in Schools|Schools|safety and discipline|Violence|victimization in school,,,,,,,,,,,Lynn A. Addington|Sally A. Ruddy|Amanda K. Miller|Jill F. DeVoe,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2002/2002331_1.pdf,,,,,,,,,
"Public-Use Data File:  Public Libraries Survey, Fiscal Year 1997",,"The Public Libraries Survey is conducted annually by the National Center for Education Statistics through the Federal-State Cooperative System for Public Library Data. The data are collected by a network of state data coordinators appointed by the chief officers of state library agencies in the 50 States, the District of Columbia, and the outlying areas. Data are collected on population of legal service area, service outlets, public service hours, library materials, total circulation, circulation of children’s materials, reference transactions, library visits, children’s program attendance, electronic services and information, staff, operating income, operating expenditures, capital outlay, and more.",,dataset,,2002-10-08,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003388,,,,NCES,,,,Libraries|public,,,,,,,,,,,Elaine Kroe,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2003/2003388.pdf,,,,,,,,,
Nation's Report Card: NAEP on the Web,,"Advertises the official website for the National Assessment of Educational Progress. This brochure indicates that, whatever the public might want to know about our nation's educational progress, this website is the place to begin.  Examples of the types of data and other resources available at the site are provided in color photos of major sections of the site.",,brochure,,2002-10-10,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2002528,,,,NCES,,,,NAEP,,,,,,,,,,,Johnson|Carol,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2002/2002528.pdf,,,,,,,,,
"Restricted-Use Data File:  Public Libraries Survey, Fiscal Year 1997",,"The Public Libraries Survey is conducted annually by the National Center for Education Statistics through the Federal-State Cooperative System for Public Library Data. The data are collected by a network of state data coordinators appointed by the chief officers of state library agencies in the 50 States, the District of Columbia, and the outlying areas. Data are collected on population of legal service area, service outlets, public service hours, library materials, total circulation, circulation of children’s materials, reference transactions, library visits, children’s program attendance, electronic services and information, staff, operating income, operating expenditures, capital outlay, and more.",,dataset,,2002-10-16,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003387,,,,NCES,,,,Libraries|public,,,,,,,,,,,Elaine Kroe,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubsearch/licenses.asp,,,,,,,,,
A Profile of Participation in Distance Education: 1999-2000,,This report profiles undergraduate and graduate students’ participation in distance education in 1999–2000.  The report discusses student demographic characteristics associated with distance education participation as well as different types of distance education technology and students’ satisfaction with their distance education courses compared to their regular courses.  Results show that students with characteristics associated with greater family and work responsibilities tend to participate in distance education at higher rates than their counterparts with fewer family and work responsibilities.,,statistical-publication,,2002-10-17,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003154,,,,NCES,,,,Higher Education Institutions|distance education|Technology Use  in Education,,,,,,,,,,,Anna Sikora,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/das/epubs/2003154/,,,,,,,,,
Beyond 9 to 5: The Diversity of Employment Among 1992–93 College Graduates in 1997,,"Using the 1993/97 Baccalaureate and Beyond Longitudinal Study (B&B:93/97), this report describes the employment experiences of 1992–93 bachelor’s degree recipients in spring 1997, focusing on part-time employment, self-employment, employment in multiple jobs, employment in clerical and support occupations, and employment in field professions.  Background characteristics associated with these types of alternative employment are explored, including an examination of differential participation in these types of arrangements by gender.  In addition, the report examines differences in other employment characteristics such as benefits, salary, and satisfaction by alternative employment.",,statistical-publication,,2002-10-21,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003152,,,,NCES,,,,Employment|Postsecondary Education|outcomes,,,,,,,,,,,Ellen M. Bradburn|Rachael Berger,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/das/epubs/2003152/,,,,,,,,,
E.D. TAB:  State Library Agencies: Fiscal Year 2001,,"This report provides a statistical profile of state library agencies in the 50 states and the District of Columbia for state fiscal year 2001. The report includes information on staff, revenue, expenditures, services to libraries and systems, public service hours, service outlets, service and development transactions, collections, allied operations, and electronic services. The data were collected through the State Library Agencies Survey conducted by the National Center for Education Statistics (NCES).",,report,,2002-10-25,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003309,,,,NCES,,,,Expenditures|state library agencies|Libraries|services and resources|state agencies|States|libraries,,,,,,,,,,,Barbara Holton|Elaine Kroe|Patricia O'Shea|Cindy Sheckells|Suzanne Dorinski|Michael Freeman,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2003/2003309.pdf,,,,,,,,,
Federal Support for Education:  Fiscal Years 1980 to 2002,,This NCES report attempts to provide a comprehensive picture of total federal financial support for education from fiscal year 1980 through fiscal year 2002. A summary of dollar amounts spent on education programs in the U.S. Department of Education and other government agencies is provided.,,statistical-publication,,2002-10-31,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003006,,,,NCES,,,,Achievement (Student)|Expenditures|federal government for education|Federal Expenditures for Education|Finance|elementary and secondary schools|higher education|Financing|higher education|Higher Education|financing of|Postsecondary Education|finance|Public School Finance|Revenues,,,,,,,,,,,Charlene Hoffman,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2003/2003006.pdf,,,,,,,,,
Indicators of School Crime and Safety: 2002,,"This report presents data on crime at school from the perspectives of students, teachers, principals, and the general population from an array of sources--the National Crime Victimization Survey, the School Crime Supplement to the National Crime Victimization Survey, the Youth Risk Behavior Survey, and the School and Staffing Survey. A joint effort by the Bureau of Justice Statistics and National Center for Education Statistics, the report examines crime occurring in school as well as on the way to and from school. Data for crime away from school are also presented to place school crime in the context of crime in the larger society.",,statistical-publication,,2002-11-01,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003009,,,,NCES,,,,Crime (see also Violence and Safety)|Safety in Schools|Urban Schools|Violence|victimization in school,,,,,,,,,,,DeVoe|Jill|Peter|Katharin|Kaufman|Phil|Ruddy|Sally|Miller|Amanda|Planty|Mike|Snyder|Thomas|Duhart|Detis|Rand|Mike,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/programs/crimeindicators/,,,,,,,,,
"Data File (Public-Use):  Public Libraries Survey, Fiscal Year 1996",,"The Public Libraries Survey is conducted annually by the National Center for Education Statistics through the Federal-State Cooperative System for Public Library Data. The data are collected by a network of state data coordinators appointed by the chief officers of state library agencies in the 50 States and the District of Columbia. Data are collected on population of legal service area, service outlets, public service hours, library materials, total circulation, circulation of children’s materials, reference transactions, library visits, children’s program attendance, electronic services and information, staff, operating income, operating expenditures, capital outlay, and more.",,dataset,,2002-11-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003391,,,,NCES,,,,Libraries|public,,,,,,,,,,,Elaine Kroe,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2003/2003391.pdf,,,,,,,,,
"Data File (Restricted-Use):  Public Libraries Survey, Fiscal Year 1996",,"The Public Libraries Survey is conducted annually by the National Center for Education Statistics through the Federal-State Cooperative System for Public Library Data. The data are collected by a network of state data coordinators appointed by the chief officers of state library agencies in the 50 States and the District of Columbia. Data are collected on population of legal service area, service outlets, public service hours, library materials, total circulation, circulation of children’s materials, reference transactions, library visits, children’s program attendance, electronic services and information, staff, operating income, operating expenditures, capital outlay, and more.",,dataset,,2002-11-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003390,,,,NCES,,,,Libraries|public,,,,,,,,,,,Elaine Kroe,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubsearch/licenses.asp,,,,,,,,,
"Data File (Public-Use):  Public Libraries Survey, Fiscal Year 1992",,"The Public Libraries Survey is conducted annually by the National Center for Education Statistics through the Federal-State Cooperative System for Public Library Data. The data are collected by a network of state data coordinators appointed by the chief officers of state library agencies in the 50 States and the District of Columbia. Data are collected on population of legal service area, service outlets, public service hours, library materials, total circulation, circulation of children’s materials, reference transactions, library visits, children’s program attendance, staff, operating income, operating expenditures, capital outlay, and more.",,dataset,,2002-11-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003308,,,,NCES,,,,Libraries|public,,,,,,,,,,,Elaine Kroe,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2003/2003308.pdf,,,,,,,,,
"Data File (Restricted-Use):  Public Libraries Survey, Fiscal Year 1992",,"The Public Libraries Survey is conducted annually by the National Center for Education Statistics through the Federal-State Cooperative System for Public Library Data. The data are collected by a network of state data coordinators appointed by the chief officers of state library agencies in the 50 States and the District of Columbia. Data are collected on population of legal service area, service outlets, public service hours, library materials, total circulation, circulation of children’s materials, reference transactions, library visits, children’s program attendance, staff, operating income, operating expenditures, capital outlay, and more.",,dataset,,2002-11-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003307,,,,NCES,,,,Libraries|public,,,,,,,,,,,Elaine Kroe,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubsearch/licenses.asp,,,,,,,,,
"Data File (Public-Use):  Public Libraries Survey, Fiscal Year 1993",,"The Public Libraries Survey is conducted annually by the National Center for Education Statistics through the Federal-State Cooperative System for Public Library Data. The data are collected by a network of state data coordinators appointed by the chief officers of state library agencies in the 50 States and the District of Columbia. Data are collected on population of legal service area, service outlets, public service hours, library materials, total circulation, circulation of children’s materials, reference transactions, library visits, children’s program attendance, staff, operating income, operating expenditures, capital outlay, and more.",,dataset,,2002-11-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003306,,,,NCES,,,,Libraries|public,,,,,,,,,,,Elaine Kroe,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2003/2003306.pdf,,,,,,,,,
"Data File (Restricted-Use):  Public Libraries Survey, Fiscal Year 1993",,"The Public Libraries Survey is conducted annually by the National Center for Education Statistics through the Federal-State Cooperative System for Public Library Data. The data are collected by a network of state data coordinators appointed by the chief officers of state library agencies in the 50 States and the District of Columbia. Data are collected on population of legal service area, service outlets, public service hours, library materials, total circulation, circulation of children’s materials, reference transactions, library visits, children’s program attendance, staff, operating income, operating expenditures, capital outlay, and more.",,dataset,,2002-11-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003305,,,,NCES,,,,Libraries|public,,,,,,,,,,,Elaine Kroe,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubsearch/licenses.asp,,,,,,,,,
"Data File (Public-Use):  Public Libraries Survey, Fiscal Year 1994",,"The Public Libraries Survey is conducted annually by the National Center for Education Statistics through the Federal-State Cooperative System for Public Library Data. The data are collected by a network of state data coordinators appointed by the chief officers of state library agencies in the 50 States and the District of Columbia. Data are collected on population of legal service area, service outlets, public service hours, library materials, total circulation, circulation of children’s materials, reference transactions, library visits, children’s program attendance, staff, operating income, operating expenditures, capital outlay, and more.",,dataset,,2002-11-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003304,,,,NCES,,,,Libraries|public,,,,,,,,,,,Elaine Kroe,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2003/2003304.PDF,,,,,,,,,
"Data File (Restricted-Use):  Public Libraries Survey, Fiscal Year 1994",,"The Public Libraries Survey is conducted annually by the National Center for Education Statistics through the Federal-State Cooperative System for Public Library Data. The data are collected by a network of state data coordinators appointed by the chief officers of state library agencies in the 50 States and the District of Columbia. Data are collected on population of legal service area, service outlets, public service hours, library materials, total circulation, circulation of children’s materials, reference transactions, library visits, children’s program attendance, staff, operating income, operating expenditures, capital outlay, and more.",,dataset,,2002-11-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003303,,,,NCES,,,,Libraries|public,,,,,,,,,,,Elaine Kroe,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubsearch/licenses.asp,,,,,,,,,
"Data File (Public-Use):  Public Libraries Survey, Fiscal Year 1995",,"The Public Libraries Survey is conducted annually by the National Center for Education Statistics through the Federal-State Cooperative System for Public Library Data. The data are collected by a network of state data coordinators appointed by the chief officers of state library agencies in the 50 States and the District of Columbia. Data are collected on population of legal service area, service outlets, public service hours, library materials, total circulation, circulation of children’s materials, reference transactions, library visits, children’s program attendance, electronic services and information, staff, operating income, operating expenditures, capital outlay, and more.",,dataset,,2002-11-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003302,,,,NCES,,,,Libraries|public,,,,,,,,,,,Elaine Kroe,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubs2003/2003302.PDF,,,,,,,,,
"Data File (Restricted-Use):  Public Libraries Survey, Fiscal Year 1995",,"The Public Libraries Survey is conducted annually by the National Center for Education Statistics through the Federal-State Cooperative System for Public Library Data. The data are collected by a network of state data coordinators appointed by the chief officers of state library agencies in the 50 States and the District of Columbia. Data are collected on population of legal service area, service outlets, public service hours, library materials, total circulation, circulation of children’s materials, reference transactions, library visits, children’s program attendance, electronic services and information, staff, operating income, operating expenditures, capital outlay, and more.",,dataset,,2002-11-05,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2003301,,,,NCES,,,,Libraries|public,,,,,,,,,,,Elaine Kroe,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,http://nces.ed.gov/pubsearch/licenses.asp,,,,,,,,,
